"","left","top","right","bottom","id","Hg","cellIdNew","cover","climate"
"1",3271999.99979807,1859999.99992613,3273999.99979807,1857999.99992613,726212,1,1,-1.41718368103156,1.11293519820759
"2",3271999.99979807,1853999.99992613,3273999.99979807,1851999.99992613,726215,1,2,-1.87432286295834,1.20006276193781
"3",3273999.99979807,1853999.99992613,3275999.99979807,1851999.99992613,728471,1,3,-1.78177423964365,1.05187803396881
"4",3273999.99979807,1845999.99992613,3275999.99979807,1843999.99992613,728475,1,4,-1.08488982749091,1.10050852138445
"5",3275999.99979807,1851999.99992613,3277999.99979807,1849999.99992613,730728,1,5,-0.20821606346217,0.895119149449179
"6",3275999.99979807,1845999.99992613,3277999.99979807,1843999.99992613,730731,1,6,-1.60875832254481,1.07147472185838
"7",3279999.99979807,1851999.99992613,3281999.99979807,1849999.99992613,735240,1,7,-1.4818578996277,1.07304135786759
"8",3279999.99979807,1837999.99992613,3281999.99979807,1835999.99992613,735247,1,8,-0.851235391120106,0.952024113192432
"9",3281999.99979807,1853999.99992613,3283999.99979807,1851999.99992613,737495,1,9,-1.51370456348533,1.07789936738729
"10",3281999.99979807,1845999.99992613,3283999.99979807,1843999.99992613,737499,1,10,-0.383770780023603,0.891037506645369
"11",3283999.99979807,1847999.99992613,3285999.99979807,1845999.99992613,739754,1,11,-0.288089713252386,0.956156968189399
"12",3283999.99979807,1845999.99992613,3285999.99979807,1843999.99992613,739755,1,12,-0.75807527301147,0.88787863538929
"13",3283999.99979807,1843999.99992613,3285999.99979807,1841999.99992613,739756,1,13,-1.18071884751212,0.962174595258709
"14",3285999.99979807,1847999.99992613,3287999.99979807,1845999.99992613,742010,1,14,-0.661315904267883,0.917314230589509
"15",3285999.99979807,1845999.99992613,3287999.99979807,1843999.99992613,742011,1,15,-1.08453783868918,0.842939750614605
"16",3285999.99979807,1837999.99992613,3287999.99979807,1835999.99992613,742015,1,16,-0.851235391120106,1.07572565530991
"17",3287999.99979807,1849999.99992613,3289999.99979807,1847999.99992613,744265,1,17,-1.04779525388317,0.873076796337205
"18",3287999.99979807,1847999.99992613,3289999.99979807,1845999.99992613,744266,1,18,-0.312393356635737,0.841542212984528
"19",3287999.99979807,1845999.99992613,3289999.99979807,1843999.99992613,744267,1,19,-1.05277455028845,0.736435400072857
"20",3289999.99979807,1851999.99992613,3291999.99979807,1849999.99992613,746520,1,20,-1.47016215932254,0.840940440810188
"21",3289999.99979807,1849999.99992613,3291999.99979807,1847999.99992613,746521,1,21,-0.923872451193659,0.710274357364922
