"","MATRICULA","Category","CIERVO","GAMO","CORZO","MUFLON","CABRA","JABALI","ARRUI","CERRAMIENT","ten_cier","ten_gamo","ten_corz","ten_mufl","ten_cabr","ten_jaba","ten_arru","CIERVO_d","GAMO_d","CORZO_d","MUFLON_d","CABRA_d","JABALI_d","ARRUI_d","ag_cluster","a47_k4","Clasificac","area_nueva","area","Hg","minId","maxId","Axis1","Axis2","Axis3","cover","areaS"
"1","AB-10005","AB-10005","0","0","0","0","0",23,"0",0,"0","0","0","0","0","0.0977543580462023","0","0","0","0","0","0","2.27919905393658","0","1","2","Grupo 1",10091264.18,10,478,2300,2302,-0.998304566085254,0.008753785052004,0.331221403774298,0.290299321214358,-0.27604042624408
"2","AB-10006","AB-10006","0","0","0","0","0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","Grupo 1",10611893.74,11,479,2303,2304,-0.998304566085254,0.008753785052004,0.331221403774298,-0.068706125020981,-0.232090757121882
"3","AB-10007","AB-10007","0","0","0","0","0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","Grupo 1",34879196.39,35,480,2305,2312,-0.998304566085254,0.008753785052004,0.331221403774298,-1.21642050147057,0.822701301810864
"4","AB-10008","AB-10008","0","0","0","0","0",10,"0",0,"0","0","0","0","0","-0.231689012503579","0","0","0","0","0","0","1.25262300101934","0","1","2","Grupo 1",7983248.097,8,481,2313,2314,-0.998304566085254,0.008753785052004,0.331221403774298,0.725758269429207,-0.363939764488475
"5","AB-10010","AB-10010","0","0","0","0","0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","Grupo 1",5266025.866,5,483,2315,2316,-0.998304566085254,0.008753785052004,0.331221403774298,-0.283679530024529,-0.495788771855069
"6","AB-10012","AB-10012","5","0","0","0","0",60,"0",0,"0.469744468643491","0","0","0","0","0.534506668505179","0","0.812516943243158","0","0","0","0","9.75020331891789","0","2","2","Grupo 5",6153717.893,6,485,2317,2317,-0.294066747221699,-0.34736055794188,0.331640471083249,0.749944262329969,-0.451839102732871
"7","AB-10015","AB-10015","0","0","0","0","0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","Grupo 1",60302779.17,60,487,2318,2332,-0.998304566085254,0.008753785052004,0.331221403774298,-0.610671288271745,1.92144302986581
"8","AB-10016","AB-10016","0","0","0","0","0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","Grupo 1",4254311.903,4,488,2333,2333,-0.998304566085254,0.008753785052004,0.331221403774298,0.234444402580811,-0.539738440977266
"9","AB-10021","AB-10021","0","0","0","0","0",57,"0",0,"0","0","0","0","0","-0.105452839899559","0","0","0","0","0","0","1.05329933649204","0","1","2","Grupo 1",54115671.09,54,491,2335,2347,-0.998304566085254,0.008753785052004,0.331221403774298,-0.214618802735848,1.65774501513262
"10","AB-10022","AB-10022","0","0","0","0","0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","Grupo 1",4202400.234,4,492,2348,2348,-0.998304566085254,0.008753785052004,0.331221403774298,0.385512654455649,-0.539738440977266
